TOM-ACT,Name_Movie,Actors,Actor_2,Actor_3,Actor_4,Came_out,Date_M,Rate_S,Director
Romance,Call Me by Your Name,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,,2017,,7.9,Luca Guadagnino
Romance,"Love, Simon",Nick Robinson,Jennifer Garner,Josh Duhamel,,2018,,7.6,Greg Berlanti
Romance,Silver Linings Playbook,Bradley Cooper,Jennifer Lawrence,Robert De Niro,,2012,,7.7,David O. Russell
Romance,Gone with the Wind,Clark Gable,Vivien Leigh,Thomas Mitchell,,1939,,8.1,Victor Fleming
Romance,Casablanca,Humphrey Bogart,Ingrid Bergman,Paul Henreid,,1942,,8.5,Michael Curtiz
Romance,,,,,,,,,
Romance,,,,,,,,,
Romance,,,,,,,,,
Romance,,,,,,,,,
Romance,,,,,,,,,
Romance,,,,,,,,,
